"Product","Time","Vendor","Brand","Vendite.in.Valore","Vendite.in.Valore.Senza.promozioni","Vendite.in.Valore.Con.promozioni","Vendite.in.Valore.Solo.Special.Pack","Vendite.in.Valore.Solo.Volantino","Vendite.in.Valore.Solo.Display","Vendite.in.Valore.Solo.Riduzione.Prezzo","Vendite.in.Valore.Solo.Sconto.Loyalty","Vendite.in.Valore.Con.Special.Pack.e.Volantino","Vendite.in.Valore.Con.Special.Pack.e.Display","Vendite.in.Valore.Con.Special.Pack.e.Riduzione.Prezzo","Vendite.in.Valore.Con.Special.Pack.e.Sconto.Loyalty","Vendite.in.Valore.Con.Volantino.e.Display","Vendite.in.Valore.Con.Volantino.e.Riduzione.Prezzo","Vendite.in.Valore.Con.Volantino.e.Sconto.Loyalty","Vendite.in.Valore.Con.Display.e.Riduzione.Prezzo","Vendite.in.Valore.Con.Display.e.Sconto.Loyalty","Vendite.in.Valore.Con.Riduzione.Prezzo.e.Sconto.Loyalty","Vendite.in.Valore.Con.Special.Pack..Volantino.e.Display","Vendite.in.Valore.Con.Special.Pack..Volantino.e.Riduzione.Prezzo","Vendite.in.Valore.Con.Special.Pack..Volantino.e.Sconto.Loyalty","Vendite.in.Valore.Con.Volantino..Display.e.Riduzione.Prezzo","Vendite.in.Valore.Con.Volantino..Display.e.Sconto.Loyalty","Vendite.in.Valore.Con.Display..Riduzione.Prezzo.e.Sconto.Loyalty","Vendite.in.Valore.Con.Special.Pack..Display.e.Riduzione.Prezzo","Vendite.in.Valore.Con.Special.Pack..Riduzione.Prezzo.e.Sconto.Loyalty","Vendite.in.Valore.Con.Volantino..Riduzione.Prezzo.e.Sconto.Loyalty","Vendite.in.Valore.Con.Special.Pack..Display.e.Sconto.Loyalty","Vendite.in.Valore.Con.Special.Pack..Volantino..Display.e.Riduzione.Prezzo","Vendite.in.Valore.Con.Special.Pack..Volantino..Display.e.Sconto.Loyalty","Vendite.in.Valore.Con.Volantino..Display..Riduzione.Prezzo.e.Sconto.Loyalty","Vendite.in.Valore.Con.Special.Pack..Volantino..TPR.e.Sconto.Loyalty","Vendite.in.Valore.Con.Special.Pack..Display..TPR.e.Sconto.Loyalty","Vendite.in.Valore.Con.Special.Pack..Volantino..Display..TPR.e.Sconto.Loyalty","Vendite.in.Volume","Vendite.in.Volume.Con.promozioni","Vendite.in.Volume.Senza.promozioni","Sconto"
"MORETTI BIRRA LAGER REGOLARE 4.6 % BOTTIGLIA DI VETRO 66 CL 1 CT - 800143550001",2019-02-17,"GRUPPO HEINEKEN","MORETTI",215856.065,51904.19,163951.875,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,153908.40287251,120799.912200208,33108.4906723022,13.4261494629304
"MORETTI BIRRA LAGER REGOLARE 4.6 % BOTTIGLIA DI VETRO 66 CL 1 CT - 800143550001",2019-02-24,"GRUPPO HEINEKEN","MORETTI",142730.88,64119.31,78611.57,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96595.0456949615,55666.1687957954,40928.8768991661,9.85614531564831
"MORETTI BIRRA LAGER REGOLARE 4.6 % BOTTIGLIA DI VETRO 66 CL 1 CT - 800143550001",2019-03-03,"GRUPPO HEINEKEN","MORETTI",137544.68,65305.99,72238.69,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95448.7115315438,53899.8569998741,41548.8545316696,14.7315661164673
"MORETTI BIRRA LAGER REGOLARE 4.6 % BOTTIGLIA DI VETRO 66 CL 1 CT - 800143550001",2019-03-10,"GRUPPO HEINEKEN","MORETTI",118914.28,64689.13,54225.15,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79073.3921567774,39023.5361999559,40049.8559568214,13.9712151116555
"MORETTI BIRRA LAGER REGOLARE 4.6 % BOTTIGLIA DI VETRO 66 CL 1 CT - 800143550001",2019-03-17,"GRUPPO HEINEKEN","MORETTI",152638.53,66812.14,85826.39,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108367.756196022,67400.7575997734,40966.9985962486,21.9208939812425
"MORETTI BIRRA LAGER REGOLARE 4.6 % BOTTIGLIA DI VETRO 66 CL 1 CT - 800143550001",2019-03-24,"GRUPPO HEINEKEN","MORETTI",151288.16,67821.78,83466.38,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106842.548960409,65091.2262001133,41751.3227602959,21.0612616690895
"MORETTI BIRRA LAGER REGOLARE 4.6 % BOTTIGLIA DI VETRO 66 CL 1 CT - 800143550001",2019-03-31,"GRUPPO HEINEKEN","MORETTI",124353.52,80784.53,43568.99,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80472.2885635185,30164.7786000252,50307.5099634934,10.0539761752708
"MORETTI BIRRA LAGER REGOLARE 4.6 % BOTTIGLIA DI VETRO 66 CL 1 CT - 800143550001",2019-04-07,"GRUPPO HEINEKEN","MORETTI",124118.29,81493.23,42625.06,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79871.4839553738,29405.4551992321,50466.0287561417,10.2334165785909
"MORETTI BIRRA LAGER REGOLARE 4.6 % BOTTIGLIA DI VETRO 66 CL 1 CT - 800143550001",2019-04-14,"GRUPPO HEINEKEN","MORETTI",301962.07,66639.58,235322.49,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,232284.610635481,191375.018935547,40909.591699934,24.51318837982
"MORETTI BIRRA LAGER REGOLARE 4.6 % BOTTIGLIA DI VETRO 66 CL 1 CT - 800143550001",2019-04-21,"GRUPPO HEINEKEN","MORETTI",519377.28,98816.83,420560.45,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,416649.69035521,353592.571083984,63057.119271226,24.1023192192697
